Ticker,Name of the company,Industry
ACCP.PA,Accor SA,Consumer Discretionary
AIR.PA,Airbus SE,Industrials
AIRF.PA,Air France KLM SA,Consumer Discretionary
AIRP.PA,L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA,Basic Materials
AKE.PA,Arkema SA,Basic Materials
ALSO.PA,Alstom SA,Industrials
AM.PA,Dassault Aviation SA,Industrials
AXAF.PA,AXA SA,Financials
BICP.PA,Societe BIC SA,Consumer Staples
BNPP.PA,BNP Paribas SA,Financials
BOLL.PA,Bollore SE,Industrials
BOUY.PA,Bouygues SA,Industrials
CAGR.PA,Credit Agricole SA,Financials
CARR.PA,Carrefour SA,Consumer Staples
CASP.PA,Casino Guichard Perrachon SA,Consumer Staples
CHBE.PA,Beneteau SA,Consumer Discretionary
CNPP.PA,CNP Assurances SA,Financials
DANO.PA,Danone SA,Consumer Staples
DAST.PA,Dassault Systemes SE,Technology
EDEN.PA,Edenred SE,Industrials
EDF.PA,Electricite de France SA,Utilities
ENGIE.PA,Engie SA,Utilities
ERMT.PA,Eramet SA,Basic Materials
ESLX.PA,EssilorLuxottica SA,Health Care
ETL.PA,Eutelsat Communications SA,Telecommunications
EUFI.PA,Eurofins Scientific SE,Health Care
EXHO.PA,Sodexo SA,Consumer Discretionary
IMTP.PA,Imerys SA,Basic Materials
KORI.PA,Korian SA,Health Care
LVMH.PA,LVMH Moet Hennessy Louis Vuitton SE,Consumer Discretionary
MICP.PA,Compagnie Generale des Etablissements Michelin SCA,Consumer Discretionary
MT.AS,ArcelorMittal SA,Basic Materials
MWDP.PA,Wendel SE,Financials
ORAN.PA,Orange SA,Telecommunications
OREP.PA,L'Oreal SA,Consumer Discretionary
ORP.PA,Orpea SA,Health Care
PERP.PA,Pernod Ricard SA,Consumer Staples
PRTP.PA,Kering SA,Consumer Discretionary
PUBP.PA,Publicis Groupe SA,Consumer Discretionary
RENA.PA,Renault SA,Consumer Discretionary
SAF.PA,Safran SA,Industrials
SASY.PA,Sanofi SA,Health Care
SCHN.PA,Schneider Electric SE,Industrials
SCOR.PA,Scor SE,Financials
SGEF.PA,Vinci SA,Industrials
SGOB.PA,Compagnie de Saint Gobain SA,Industrials
SOGN.PA,Societe Generale SA,Financials
SOLB.BR,Solvay SA,Basic Materials
SOPR.PA,Sopra Steria Group SA,Technology
STLA.MI,Stellantis NV,Consumer Discretionary
STM.PA,STMicroelectronics NV,Technology
TCFP.PA,Thales SA,Industrials
TEPRF.PA,Teleperformance SE,Industrials
TFFP.PA,Television Francaise 1 SA,Consumer Discretionary
TRIA.PA,Trigano SA,Consumer Discretionary
TTEF.PA,TotalEnergies SE,Energy
UBIP.PA,Ubisoft Entertainment SA,Consumer Discretionary
VIE.PA,Veolia Environnement SA,Utilities
VIV.PA,Vivendi SE,Consumer Discretionary
VLLP.PA,Vallourec SA,Basic Materials
XFAB.PA,X Fab Silicon Foundries EV,Technology
